time_iso8601,forks_cumulative
2024-03-04 00:00:00+00:00,304
2024-03-05 00:00:00+00:00,305
2024-03-07 00:00:00+00:00,307
2024-03-16 00:00:00+00:00,308
2024-03-17 00:00:00+00:00,309
2024-03-20 00:00:00+00:00,310
2024-04-04 00:00:00+00:00,311
2024-04-06 00:00:00+00:00,312
2024-05-10 00:00:00+00:00,313
2024-05-12 00:00:00+00:00,314
2024-06-16 00:00:00+00:00,315
2024-06-23 00:00:00+00:00,316
2024-08-03 00:00:00+00:00,317
2024-08-11 00:00:00+00:00,318
2024-08-22 00:00:00+00:00,319
2024-08-27 00:00:00+00:00,320
2024-09-11 00:00:00+00:00,321
2024-09-12 00:00:00+00:00,322
2024-09-15 00:00:00+00:00,323
2024-09-30 00:00:00+00:00,324
2024-10-01 00:00:00+00:00,325
2024-10-02 00:00:00+00:00,326
2024-10-07 00:00:00+00:00,327
2024-10-12 00:00:00+00:00,328
2024-10-15 00:00:00+00:00,329
2024-10-25 00:00:00+00:00,331
2024-10-26 00:00:00+00:00,332
2024-11-04 00:00:00+00:00,333
2024-11-17 00:00:00+00:00,334
2024-11-18 00:00:00+00:00,335
2024-11-21 00:00:00+00:00,338
